FirstName,LastName,Name,Description,OU,Password,Department,Title,Company
John,Doe,jdoe,Service Desk Analyst,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword123,IT,Service Desk Analyst,CJ Sec Solutions
Jane,Smith,jsmith,IT Support Technician,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword124,IT,IT Support Technician,CJ Sec Solutions
Michael,Brown,mbrown,Desktop Support Engineer,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword125,IT,Desktop Support Engineer,CJ Sec Solutions
Emily,Johnson,ejohnson,Systems Administrator,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword126,IT,Systems Administrator,CJ Sec Solutions
Alice,Taylor,ataylor,Network Administrator,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword127,IT,Network Administrator,CJ Sec Solutions
Robert,Wilson,rwilson,Cloud Engineer,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword128,IT,Cloud Engineer,CJ Sec Solutions
Sophia,Martinez,smartinez,Cloud Solutions Architect,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword129,IT,Cloud Solutions Architect,CJ Sec Solutions
Daniel,Lee,dlee,DevOps Engineer,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword130,IT,DevOps Engineer,CJ Sec Solutions
Grace,Clark,gclark,Site Reliability Engineer (SRE),"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword131,IT,Site Reliability Engineer (SRE),CJ Sec Solutions
Liam,Walker,lwalker,Database Administrator (DBA),"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword132,IT,Database Administrator (DBA),CJ Sec Solutions
Emma,Hall,ehall,Data Engineer,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword133,IT,Data Engineer,CJ Sec Solutions
Noah,Allen,nallen,Data Analyst,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword134,IT,Data Analyst,CJ Sec Solutions
Olivia,Young,oyoung,Data Scientist,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword135,IT,Data Scientist,CJ Sec Solutions
